frame,time_remaining,score_a,score_b
0,,,
60,,,
120,,,
180,,,
240,,,
300,,,
360,,,
420,,,
480,,,
540,,,
600,,,
660,,,
720,,,
780,,,
840,,,
900,,,
960,,,
1020,,,
1080,,,
1140,,,
1200,,,
1260,,,
1320,,,
1380,,,
1440,,,
1500,,,
1560,298,0,0
1620,236,0,0
1680,295,0,0
1740,295,0,0
1800,291,0,0
1860,297,0,0
1920,297,0,0
1980,230,0,0
2040,212,0,0
2100,277,0,0
2160,278,0,0
2220,216,0,0
2280,275,0,0
2340,273,0,0
2400,271,0,0
2460,277,0,0
2520,277,0,0
2580,210,0,0
2640,262,0,0
2700,257,0,0
2760,498,0,0
2820,256,0,0
2880,255,0,0
2940,255,0,0
3000,255,1,0
3060,255,8,0
3120,255,8,0
3180,255,8,0
3240,255,8,0
3300,255,8,0
3360,255,8,0
3420,253,8,0
3480,491,8,0
3540,257,8,0
3600,257,8,1
3660,257,8,8
3720,257,8,8
3780,257,8,8
3840,257,8,8
3900,257,8,8
3960,257,8,8
4020,257,8,8
4080,257,8,8
4140,257,8,10
4200,257,8,10
4260,267,8,10
4320,267,8,10
4380,250,8,10
4440,252,8,10
4500,317,8,10
4560,318,8,10
4620,256,8,10
4680,315,8,10
4740,313,8,10
4800,311,8,10
4860,317,8,10
4920,317,8,10
4980,250,8,10
5040,250,8,10
5100,250,8,10
5160,250,8,10
5220,250,8,10
5280,250,8,10
5340,250,8,10
5400,250,10,10
5460,250,10,10
5520,250,10,10
5580,250,18,10
5640,250,18,10
5700,250,18,10
5760,250,18,10
5820,250,18,10
5880,250,18,10
5940,250,18,10
6000,250,18,15
6060,250,18,15
6120,250,18,15
6180,250,18,15
6240,250,18,19
6300,250,18,19
6360,250,18,19
6420,250,18,19
6480,250,18,80
6540,250,18,81
6600,250,18,88
6660,250,18,88
6720,250,18,88
6780,250,18,88
6840,250,18,88
6900,182,18,88
6960,247,18,88
7020,247,18,88
7080,247,18,88
7140,247,18,88
7200,247,18,88
7260,247,18,88
7320,187,18,88
7380,187,18,88
7440,187,18,88
7500,248,18,88
7560,186,18,88
7620,185,18,88
7680,185,18,88
7740,183,18,88
7800,183,18,88
7860,241,18,88
7920,241,18,88
7980,241,18,88
8040,241,18,90
8100,241,18,91
8160,241,18,98
8220,241,18,98
8280,241,18,98
8340,241,18,98
8400,241,18,98
8460,241,18,98
8520,241,18,98
8580,241,18,98
8640,241,18,98
8700,187,18,98
8760,187,18,98
8820,187,18,98
8880,187,18,98
8940,187,18,98
9000,187,18,98
9060,187,18,98
9120,187,18,98
9180,187,18,98
9240,187,18,98
9300,187,18,98
9360,187,18,98
9420,187,18,98
9480,187,18,98
9540,187,18,98
9600,187,18,98
9660,187,18,98
9720,187,18,98
9780,187,18,98
9840,187,18,98
9900,187,18,98
9960,187,18,98
10020,187,18,98
10080,187,18,98
10140,187,18,98
10200,187,18,98
10260,187,18,98
10320,187,18,98
10380,187,18,98
10440,187,18,98
10500,187,18,98
10560,187,18,98
10620,187,18,98
10680,187,18,98
10740,187,18,98
10800,187,18,98
10860,187,18,98
10920,187,18,98
10980,187,18,98
11040,189,18,98
11100,189,19,98
11160,189,19,98
11220,189,19,98
11280,180,19,98
11340,180,80,98
11400,180,81,98
11460,180,88,98
11520,180,88,98
11580,180,88,98
11640,180,88,98
11700,180,88,98
11760,180,88,98
11820,180,88,98
11880,180,88,98
11940,180,90,98
12000,180,91,98
12060,180,98,98
12120,180,98,98
12180,180,98,98
12240,180,98,98
12300,172,98,98
12360,172,98,98
12420,177,98,98
12480,177,98,98
12540,177,98,98
12600,177,98,98
12660,177,98,98
12720,118,98,98
12780,176,98,98
12840,176,98,98
12900,176,98,98
12960,176,98,98
13020,116,98,98
13080,175,98,98
13140,173,98,98
13200,172,98,98
13260,177,98,98
13320,177,98,98
13380,110,98,98
13440,110,98,98
13500,110,98,98
13560,110,98,98
13620,110,98,98
13680,110,98,98
