frame,time_remaining,score_a,score_b
0,,,
60,,,
120,,,
180,,,
240,,,
300,,,
360,,,
420,,,
480,,,
540,,,
600,,,
660,,,
720,,,
780,,,
840,,,
900,,,
960,,,
1020,,,
1080,,,
1140,,,
1200,,,
1260,,,
1320,,,
1380,,,
1440,,,
1500,,,
1560,298,0,0
1620,236,0,0
1680,295,0,0
1740,295,0,0
1800,291,0,0
1860,297,0,0
1920,,0,0
1980,230,0,0
2040,212,0,0
2100,277,0,0
2160,278,0,0
2220,216,0,0
2280,275,0,0
2340,273,0,0
2400,271,0,0
2460,277,0,0
2520,,0,0
2580,210,0,0
2640,262,0,0
2700,257,0,0
2760,498,0,0
2820,256,0,0
2880,255,0,0
2940,255,0,0
3000,255,1,0
3060,255,8,0
3120,255,8,0
3180,255,4,0
3240,255,5,0
3300,255,8,0
3360,255,7,0
3420,253,7,0
3480,491,7,0
3540,257,7,0
3600,257,7,1
3660,257,7,8
3720,257,7,8
3780,257,7,4
3840,257,7,5
3900,257,7,8
3960,257,7,7
4020,257,7,8
4080,257,7,8
4140,257,7,10
4200,257,7,
4260,267,7,10
4320,,7,10
4380,250,7,10
4440,252,7,10
4500,317,7,10
4560,318,7,10
4620,256,7,10
4680,315,7,10
4740,313,7,10
4800,311,7,10
4860,317,7,10
4920,,7,10
4980,250,7,10
5040,,7,10
5100,,7,10
5160,,8,10
5220,,8,10
5280,,8,10
5340,,8,10
5400,,10,10
5460,,,10
5520,,10,10
5580,,18,10
5640,,15,10
5700,,15,10
5760,,15,10
5820,,15,10
5880,,15,10
5940,,15,10
6000,,150,15
6060,,15,15
6120,,15,14
6180,,15,15
6240,,15,19
6300,,15,10
6360,,15,13
6420,,15,15
6480,,15,80
6540,,15,81
6600,,15,88
6660,,15,88
6720,,15,28
6780,,15,28
6840,,15,28
6900,182,15,28
6960,247,15,28
7020,247,14,28
7080,247,15,28
7140,247,15,28
7200,247,15,84
7260,247,15,85
7320,187,15,88
7380,187,15,87
7440,187,15,88
7500,248,15,85
7560,186,15,85
7620,185,15,85
7680,185,15,85
7740,183,15,85
7800,183,15,85
7860,241,15,88
7920,241,15,85
7980,241,15,85
8040,241,15,90
8100,241,15,91
8160,241,15,98
8220,241,15,88
8280,241,15,94
8340,241,15,95
8400,241,15,98
8460,241,15,97
8520,241,15,98
8580,241,15,85
8640,241,15,40
8700,187,15,41
8760,187,15,41
8820,187,15,48
8880,187,15,48
8940,187,15,44
9000,187,15,45
9060,187,15,48
9120,187,15,47
9180,187,15,48
9240,187,15,45
9300,187,15,90
9360,187,15,91
9420,187,15,98
9480,187,15,98
9540,187,15,94
9600,187,15,95
9660,187,15,98
9720,187,15,97
9780,187,15,98
9840,187,15,95
9900,187,15,90
9960,187,15,91
10020,187,15,98
10080,187,15,88
10140,187,15,94
10200,187,15,95
10260,187,15,98
10320,187,15,97
10380,187,15,98
10440,187,15,95
10500,187,15,70
10560,187,15,71
10620,187,15,78
10680,187,15,78
10740,187,15,74
10800,187,15,75
10860,187,15,78
10920,187,115,77
10980,,15,77
11040,189,15,77
11100,189,19,77
11160,189,10,77
11220,189,13,77
11280,180,15,77
11340,180,80,77
11400,180,81,77
11460,180,88,77
11520,180,28,77
11580,180,84,77
11640,180,85,77
11700,180,88,77
11760,180,87,77
11820,180,88,77
11880,180,85,77
11940,180,90,77
12000,180,91,77
12060,180,98,77
12120,180,88,77
12180,180,94,77
12240,180,95,77
12300,172,95,77
12360,172,95,77
12420,177,95,77
12480,177,95,77
12540,177,98,77
12600,177,97,77
12660,177,98,77
12720,118,95,77
12780,176,85,77
12840,176,85,78
12900,176,85,75
12960,176,85,80
13020,116,85,80
13080,175,85,80
13140,173,85,80
13200,172,85,80
13260,177,85,80
13320,,85,80
13380,110,85,80
13440,110,85,81
13500,110,85,88
13560,110,85,88
13620,110,85,84
13680,110,85,85
13740,170,85,88
13800,170,85,87
13860,170,95,88
13920,170,95,85
13980,170,95,90
