epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.6194,2.58409,4.3793,1.74283,0,0,0,0,1.77266,4.18192,1.47606,0.00015003,5.001e-05,0.00015003,5.001e-05,0.00015003,5.001e-05,0.00015003,5.001e-05
2,30.3327,2.36043,4.33397,1.70233,0,0,0,0,1.74093,4.18326,1.4586,0.000338518,0.000112839,0.000338518,0.000112839,0.000338518,0.000112839,0.000338518,0.000112839
3,34.572,2.16223,4.31392,1.64009,6e-05,0.00338,3e-05,1e-05,1.69613,4.16592,1.4252,0.000513803,0.000171268,0.000513803,0.000171268,0.000513803,0.000171268,0.000513803,0.000171268
4,38.7721,2.15031,4.28052,1.51219,0.00013,0.00676,7e-05,2e-05,1.62514,4.14308,1.38068,0.000675885,0.000225295,0.000675885,0.000225295,0.000675885,0.000225295,0.000675885,0.000225295
5,42.747,1.9463,4.21564,1.51496,0.00013,0.00676,7e-05,2e-05,1.60229,4.12871,1.36686,0.000824765,0.000274922,0.000824765,0.000274922,0.000824765,0.000274922,0.000824765,0.000274922
6,46.7235,1.93412,4.17521,1.49513,6e-05,0.00338,3e-05,2e-05,1.58373,4.10951,1.35007,0.000960442,0.000320147,0.000960442,0.000320147,0.000960442,0.000320147,0.000960442,0.000320147
7,51.5475,1.83089,4.12079,1.38204,0.00039,0.0202,0.0002,7e-05,1.56224,4.08236,1.32527,0.00108292,0.000360972,0.00108292,0.000360972,0.00108292,0.000360972,0.00108292,0.000360972
8,55.6002,1.91983,4.14141,1.37926,0.00052,0.02696,0.00027,9e-05,1.55443,4.05799,1.30541,0.00119219,0.000397396,0.00119219,0.000397396,0.00119219,0.000397396,0.00119219,0.000397396
9,59.552,1.67519,4.01826,1.25741,0.00091,0.04716,0.00049,0.00018,1.54315,4.01732,1.27858,0.00128826,0.000429419,0.00128826,0.000429419,0.00128826,0.000429419,0.00128826,0.000429419
10,63.4792,1.64348,3.95575,1.24777,0.00161,0.08419,0.0009,0.00043,1.51186,3.9702,1.24061,0.00137112,0.000457041,0.00137112,0.000457041,0.00137112,0.000457041,0.00137112,0.000457041
11,67.3716,1.62449,3.90033,1.23376,0.00256,0.1346,0.00161,0.00069,1.4828,3.91819,1.20523,0.00144079,0.000480263,0.00144079,0.000480263,0.00144079,0.000480263,0.00144079,0.000480263
12,71.1544,1.54443,3.81597,1.15272,0.00428,0.22136,0.00278,0.0013,1.44781,3.86932,1.16883,0.00149725,0.000499083,0.00149725,0.000499083,0.00149725,0.000499083,0.00149725,0.000499083
13,74.8814,1.61137,3.73061,1.18524,0.00554,0.28461,0.00365,0.00188,1.41999,3.82492,1.14383,0.00154051,0.000513503,0.00154051,0.000513503,0.00154051,0.000513503,0.00154051,0.000513503
14,78.6761,1.50814,3.66892,1.13175,0.00653,0.33468,0.00444,0.00234,1.40118,3.79491,1.12785,0.00157056,0.000523521,0.00157056,0.000523521,0.00157056,0.000523521,0.00157056,0.000523521
15,82.5566,1.54361,3.59751,1.1413,0.00896,0.45834,0.00657,0.00357,1.34944,3.74583,1.0988,0.00158742,0.000529139,0.00158742,0.000529139,0.00158742,0.000529139,0.00158742,0.000529139
16,86.3201,1.4992,3.53161,1.12966,0.01021,0.52166,0.00784,0.00451,1.32597,3.71416,1.08395,0.00159107,0.000530356,0.00159107,0.000530356,0.00159107,0.000530356,0.00159107,0.000530356
17,90.3083,1.50537,3.45473,1.10022,0.01099,0.56186,0.00873,0.00497,1.3084,3.68066,1.07104,0.00158152,0.000527172,0.00158152,0.000527172,0.00158152,0.000527172,0.00158152,0.000527172
18,97.0138,1.48901,3.35569,1.08935,0.01346,0.68917,0.01179,0.00678,1.27301,3.60834,1.05432,0.00155876,0.000519587,0.00155876,0.000519587,0.00155876,0.000519587,0.00155876,0.000519587
19,103.458,1.47986,3.22342,1.09612,0.01418,0.72599,0.01287,0.00748,1.2591,3.56392,1.04881,0.0015228,0.000507602,0.0015228,0.000507602,0.0015228,0.000507602,0.0015228,0.000507602
20,110.192,1.50175,3.09745,1.08098,0.01458,0.74593,0.01342,0.0078,1.25414,3.51515,1.04595,0.00147364,0.000491215,0.00147364,0.000491215,0.00147364,0.000491215,0.00147364,0.000491215
21,119.612,1.42724,2.97914,1.11387,0.01484,0.75964,0.01401,0.0084,1.23898,3.38603,1.04893,0.00141128,0.000470427,0.00141128,0.000470427,0.00141128,0.000470427,0.00141128,0.000470427
22,128.107,1.45505,2.88304,1.10657,0.0149,0.76309,0.04844,0.03088,1.23236,3.28979,1.05392,0.00133572,0.000445239,0.00133572,0.000445239,0.00133572,0.000445239,0.00133572,0.000445239
23,135.842,1.38594,2.73915,1.11476,0.01567,0.80349,0.16623,0.10446,1.22631,3.17733,1.06123,0.00124695,0.00041565,0.00124695,0.00041565,0.00124695,0.00041565,0.00124695,0.00041565
24,144.127,1.36377,2.62369,1.13332,0.01718,0.88019,0.34935,0.2056,1.234,3.04228,1.07168,0.00114498,0.00038166,0.00114498,0.00038166,0.00114498,0.00038166,0.00114498,0.00038166
25,153.785,1.38452,2.59184,1.13735,1,0.13949,0.50006,0.29089,1.24527,2.89396,1.08365,0.00102981,0.000343269,0.00102981,0.000343269,0.00102981,0.000343269,0.00102981,0.000343269
26,163.16,1.34164,2.43057,1.13352,0.98894,0.14943,0.53403,0.31513,1.25177,2.74475,1.09175,0.000875175,0.000291725,0.000875175,0.000291725,0.000875175,0.000291725,0.000875175,0.000291725
27,173.123,1.38969,2.3697,1.17173,0.95696,0.25107,0.57518,0.34102,1.25635,2.60925,1.09726,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714,0.000710142,0.000236714
28,182.428,1.41293,2.32842,1.18914,0.62792,0.31864,0.56315,0.33752,1.26276,2.48911,1.10258,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
29,192.236,1.41279,2.09166,1.17232,0.76539,0.42858,0.64212,0.38453,1.27159,2.38683,1.10903,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692,0.000380076,0.000126692
30,200.66,1.44942,2.0772,1.16971,0.68546,0.48024,0.64856,0.38925,1.27699,2.3131,1.11156,0.000215043,7.1681e-05,0.000215043,7.1681e-05,0.000215043,7.1681e-05,0.000215043,7.1681e-05
