epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,967.705,0.72403,0.46226,0.8943,0.55577,0.6273,0.56467,0.41377,0.96244,1.34963,1.04574,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,1036.91,0.71973,0.48058,0.91118,0.50082,0.75882,0.60485,0.45078,0.97371,1.14463,1.04931,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,1081.02,0.71539,0.45477,0.89514,0.53874,0.75244,0.6038,0.44711,0.97126,1.15341,1.0499,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,1125.31,0.70743,0.4366,0.88657,0.53709,0.73912,0.60944,0.44649,0.97702,1.14399,1.06238,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,1166.43,0.72301,0.45695,0.88683,0.5485,0.70971,0.61123,0.45092,0.95372,1.1751,1.05439,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,1209.79,0.70562,0.42073,0.89703,0.55877,0.75084,0.61607,0.44218,0.96245,1.15336,1.05836,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,1247.7,0.66908,0.41291,0.88322,0.55985,0.695,0.61159,0.44051,0.96741,1.24239,1.0628,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,1300.32,0.68561,0.42379,0.88766,0.55152,0.63088,0.58213,0.4104,1.00599,1.38108,1.07951,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
1,421.818,2.0336,5.81157,1.54959,0.00411,0.16324,0.00283,0.00168,1.4635,4.68714,1.38277,0.00070014,0.00023338,0.00070014,0.00023338,0.00070014,0.00023338,0.00070014,0.00023338
2,459.857,1.49819,3.19217,1.25857,0.25504,0.36,0.30557,0.20364,1.26852,2.48652,1.23616,0.00143593,0.000478644,0.00143593,0.000478644,0.00143593,0.000478644,0.00143593,0.000478644
3,497.745,1.23076,2.05782,1.1366,0.2812,0.4,0.34067,0.22835,1.15885,1.91162,1.16618,0.00215687,0.000718957,0.00215687,0.000718957,0.00215687,0.000718957,0.00215687,0.000718957
4,536.505,1.18821,1.52376,1.1094,0.35362,0.58706,0.41733,0.29094,1.0587,1.73001,1.11503,0.00286296,0.000954319,0.00286296,0.000954319,0.00286296,0.000954319,0.00286296,0.000954319
5,575.993,1.0893,1.36586,1.08255,0.34802,0.695,0.45084,0.31321,1.07211,1.42139,1.10813,0.00355419,0.00118473,0.00355419,0.00118473,0.00355419,0.00118473,0.00355419,0.00118473
6,613.296,1.08924,1.16197,1.0561,0.47133,0.58529,0.45817,0.31054,1.05445,1.23172,1.0936,0.00423057,0.00141019,0.00423057,0.00141019,0.00423057,0.00141019,0.00423057,0.00141019
7,656.775,1.01416,1.1339,1.02321,0.4208,0.74706,0.45155,0.30864,1.02928,1.28109,1.08557,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,703.131,1.0276,1.12897,1.03422,0.43663,0.68882,0.49306,0.33981,1.02581,1.10287,1.08168,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,752.434,0.97733,1.03602,0.99969,0.58614,0.63715,0.57494,0.40307,1.01529,1.11078,1.07263,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,798.45,0.98618,1.01339,1.0123,0.52511,0.66526,0.56645,0.39682,1.01698,1.01778,1.07272,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,849.422,0.94389,0.93637,1.01834,0.60486,0.64075,0.57414,0.40677,0.99402,1.15035,1.05974,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,911.769,0.91693,0.87449,0.96527,0.50956,0.79382,0.61873,0.44652,0.99275,0.99923,1.05512,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,961.645,0.89889,0.84032,0.97209,0.55066,0.78382,0.64841,0.46298,1.00597,0.98494,1.06331,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
37,1950.86,0.68895,0.41489,0.88263,0.58025,0.62059,0.57511,0.40433,1.00828,1.44541,1.08402,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,2000.87,0.65277,0.38364,0.88122,0.60287,0.68971,0.61446,0.44231,0.98884,1.29257,1.0738,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,2041.13,0.65103,0.39276,0.89868,0.63944,0.655,0.64939,0.46458,1.00339,1.16179,1.0844,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,2077.63,0.63974,0.39302,0.87693,0.56222,0.68971,0.63119,0.45825,0.96944,1.30024,1.0586,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,2119.93,0.62655,0.36293,0.871,0.58622,0.66052,0.61308,0.45018,0.9639,1.33857,1.0619,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,2157.66,0.63305,0.3857,0.87978,0.58866,0.655,0.59994,0.43956,0.95913,1.35953,1.0661,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
